latitude,longitude
12.9179673,77.6318989
12.9179737,77.6320332
12.9179526,77.6306682
12.917983,77.6306123
12.9179526,77.6306682
12.9179834,77.6318032
12.9182093,77.6298067
12.9179588,77.6319548
12.8852088,77.6262265
12.8940099,77.622911
12.9162107,77.6323128
12.9176571,77.6330288
12.9186136,77.6308808
12.9223091,77.6269425
12.9159369,77.6265845
12.9159369,77.6265845
12.928812,77.6226461
12.9543307,77.5438496
12.9543307,77.5438496
12.9543307,77.5438496
12.9543307,77.5438496
12.9543307,77.5438496
12.9543307,77.5438496
12.9543307,77.5438496
12.9543307,77.5438496
12.9543307,77.5438496
12.9543307,77.5438496
12.9543307,77.5438496
12.9179526,77.6306682
12.917962,77.6306347
12.9181577,77.6321898
12.9183719,77.6320555
12.9181018,77.6319437
12.9178906,77.6319938
12.9180283,77.632022
12.9180724,77.632022
12.9180167,77.6320108
12.9179537,77.6306906
12.9179526,77.6306682
12.9180189,77.6320555
12.9179968,77.6320555
12.918698,77.6324136
12.9179336,77.6318877
12.918,77.6321227
12.9179085,77.6306682
12.9179085,77.6306682
12.9180724,77.632022
12.9179642,77.6306794
12.9179075,77.6320332
12.9179957,77.6320332
12.9179327,77.6321003
12.9180262,77.6319772
12.9179526,77.6306682
12.9178906,77.6319938
12.9178865,77.6320555
12.9176231,77.6311605
12.917941,77.6306571
12.917947,77.6306782
12.9179526,77.6306682
12.917947,77.6306782
12.9179526,77.6306682
12.9162107,77.6323128
12.9183887,77.6319437
12.9180555,77.6318989
12.9178895,77.6318877
12.9179305,77.6306682
12.9179526,77.6306682
12.9179284,77.6306235
12.9179504,77.6306235
12.917941,77.6306571
12.9179642,77.6306794
12.9179537,77.6306906
12.9179526,77.6306682
12.9180283,77.632022
12.9179463,77.6319213
12.9179294,77.6306459
12.9179294,77.6306459
12.9179042,77.6305787
12.917941,77.6306571
12.9179294,77.6306459
12.9179526,77.6306682
12.9178477,77.6321674
12.917942,77.6318318
12.917941,77.6306571
12.9181228,77.6319213
12.9181679,77.6305564
12.917947,77.6306782
12.917947,77.6306782
12.9217399,77.6298067
12.9178886,77.6321003
12.9181407,77.6306794
12.917947,77.6306782
12.9179294,77.6306459
12.9179515,77.6306459
12.917947,77.6306782
12.917941,77.6306571
12.9179747,77.6320555
12.9179527,77.6320555
12.917984,77.631787
12.9181564,77.6319325
12.9180662,77.6321227
12.9178906,77.6319938
12.9179526,77.6306682
12.9179526,77.6306682
12.9179494,77.6306011
12.9179169,77.6319996
12.9180566,77.6319213
12.9181628,77.6320667
12.917962,77.6306347
12.9179655,77.6323241
12.91764,77.6326708
12.91764,77.6326708
12.9178904,77.6305228
12.9178904,77.6305228
12.9178904,77.6305228
12.9178904,77.6305228
12.91764,77.6326708
12.91764,77.6326708
12.91764,77.6326708
12.9303132,77.6097559
12.91764,77.6326708
12.91764,77.6326708
12.9162107,77.6323128
12.9162107,77.6323128
12.9162107,77.6323128
12.9182742,77.6324315
12.9179526,77.6306682
12.9179526,77.6306682
12.9179737,77.6320332
12.918042,77.6320779
12.9179349,77.6321451
12.9172768,77.6317647
12.9180609,77.6320108
12.917947,77.6306782
12.9179526,77.6306682
12.9179526,77.6306682
12.9179725,77.6306235
12.9179515,77.6306459
12.9179338,77.6321227
12.9179812,77.6321898
12.9179537,77.6320779
12.9179315,77.631843
12.9179893,77.6318989
12.9179694,77.6319437
12.9177656,77.6320667
12.9179633,77.630892
12.9179526,77.6306682
12.9179305,77.6306682
12.9179526,77.6306682
12.9179747,77.6306682
12.9180189,77.6320555
12.9180797,77.6319437
12.9179651,77.6318542
12.9178286,77.6319996
12.9180399,77.6320332
12.9180189,77.6320555
12.9179526,77.6306682
12.9179526,77.6306682
12.9179526,77.6306682
12.918105,77.6320108
12.9180724,77.632022
12.918105,77.6320108
12.9179915,77.6319437
12.9180598,77.6319884
12.918105,77.6320108
12.9180851,77.6320555
12.9179526,77.6306682
12.9179305,77.6306682
12.9179588,77.6319548
12.9178904,77.6305228
12.91764,77.6326708
12.91764,77.6326708
12.91764,77.6326708
12.9178904,77.6305228
12.9178904,77.6305228
12.9178904,77.6305228
12.9178904,77.6305228
12.9178904,77.6305228
12.9178904,77.6305228
12.91764,77.6326708
12.91764,77.6326708
12.9169852,77.6337449
12.91629,77.6265845
12.91764,77.6326708
12.91764,77.6326708
12.9178853,77.6306459
12.9178962,77.6306544
12.9180356,77.6319437
12.918063,77.6320555
12.9179936,77.6319884
12.9179299,77.6319729
12.9180377,77.6319884
12.9180934,77.6319996
12.9179074,77.6306459
12.9179997,77.6305004
12.918052,77.6317061
12.9180189,77.6320555
12.9178853,77.6306459
12.9178853,77.6306459
12.9178853,77.6306459
12.9181954,77.6320555
12.9180808,77.631966
12.9180388,77.6320108
12.9178959,77.632022
12.9178853,77.6306459
12.9179074,77.6306459
12.9178853,77.6306459
12.9178096,77.6321441
12.9179525,77.6321346
12.9180009,77.6319101
12.9178853,77.6306459
12.9179299,77.6319729
12.9179085,77.6306682
12.9179179,77.6306347
12.9179074,77.6306459
12.9179074,77.6306459
12.9179074,77.6306459
12.9179085,77.6306682
12.9179284,77.6306235
12.9179915,77.6319437
12.917874,77.6321382
12.917999,77.6319606
12.9179801,77.6319852
12.9179801,77.6319852
12.9179801,77.6319852
12.9179801,77.6319852
12.9179801,77.6319852
12.9180019,77.6319788
12.9180837,77.6318904
12.9180181,77.6318944
12.9163129,77.6313627
12.9180009,77.6319326
12.9180009,77.6319326
12.9180009,77.6319326
12.9180532,77.6319492
12.9181379,77.6317951
12.9179474,77.6319792
12.9178365,77.6306066
12.9178365,77.6306066
12.9178365,77.6306066
12.9178365,77.6306066
12.9180053,77.6320048
12.9180053,77.6320048
12.9180274,77.6319447
12.9179947,77.6319554
12.918021,77.6320065
12.9178755,77.6320722
12.9179706,77.631945
12.9179747,77.6319278
12.9181568,77.6321034
12.9178603,77.6306964
12.9153725,77.6301979
12.9179026,77.630564
12.9179026,77.630564
12.9179026,77.630564
12.9180384,77.6319643
12.9179751,77.6318303
12.9179179,77.6306347
12.9179957,77.6320332
12.9180892,77.6319101
12.9182701,77.6320641
12.9178853,77.6306459
